Contour,Mode 1 (normalized),Mode 2 (normalized)
WT00-1,-1.19181,0.494131
WT00-2,-1.06264,-0.16009
WT00-3,-0.445026,0.275509
WT00-4,-0.241432,-0.290054
WT01-1,-0.903164,0.157463
WT01-2,-0.636803,-0.7134
WT01-3,-0.641299,-0.60697
WT01-4,-0.45747,0.23744
WT02-1,-0.935605,-0.577232
WT02-2,-0.648729,1.33123
WT02-3,-0.19019,0.978407
WT03-1,-0.686605,-0.166855
WT03-2,-0.604484,0.184793
WT03-3,-0.883745,1.13191
WT03-4,-0.645455,-0.137805
WT03-5,0.108836,-0.205779
WT03-6,0.55362,0.595234
WT04-1,0.0517871,0.181045
WT04-2,0.452967,1.19275
WT04-3,0.332468,-0.46275
WT04-4,0.613372,-1.1655
WT05-1,-0.240502,0.750486
WT05-2,0.181891,0.373926
WT05-3,0.459146,-1.41579
WT05-4,0.961594,3.16256
WT05-5,1.65388,-4.11913
WT05-6,1.56507,-1.49594
WT06-01,-0.882697,-0.731962
WT06-02,-0.637213,0.0779341
WT06-03,-0.0919707,0.71312
WT06-04,-0.191567,0.499096
WT06-05,0.0459405,-1.06106
WT06-06,0.130247,-0.795412
WT06-07,0.157193,0.209636
WT06-08,0.541916,1.18481
WT06-09,1.13482,0.97215
WT06-10,2.08373,2.01933
WT06-11,2.10894,1.72969
WT07-1,-1.09147,0.377965
WT07-2,-0.694034,0.311122
WT07-3,-0.796822,0.161665
WT07-4,-0.165795,0.522898
WT07-5,-0.0819179,0.134681
WT07-6,-0.0892647,-0.0528732
WT07-7,0.498021,1.25289
WT07-8,0.671121,1.64683
WT07-9,0.915183,1.23507
WT08-1,-1.54719,-0.895462
WT08-2,-1.53556,-0.06127
WT08-3,-0.496954,-0.467526
WT08-4,0.0420607,0.972133
WT08-5,0.73481,-0.217664
WT08-6,-0.0743842,-0.202422
WT08-7,-0.0799423,-0.73832
WT08-8,0.842692,0.256344
WT08-9,3.05423,-2.21495
WT09-1,-1.48508,-0.573416
WT09-2,-1.54001,0.479869
WT09-3,-0.74012,0.377752
WT09-4,-0.716896,0.10517
WT09-5,-0.341428,0.71621
WT09-6,0.0136701,0.768666
WT09-7,0.522542,-1.33455
WT09-8,0.249773,-0.913785
WT09-9,0.54796,-0.760053
WT10-01,-0.972172,0.315378
WT10-02,-0.71937,0.101888
WT10-03,-0.448525,-0.199509
WT10-04,-0.489984,-0.798436
WT10-05,-0.495592,-0.154239
WT10-06,-0.229622,-0.247817
WT10-07,-0.0324861,0.518924
WT10-08,-0.190282,1.16399
WT10-09,0.160251,-0.187819
WT10-10,0.483973,-1.59672
WT10-11,1.22528,-0.031131
WT10-12,1.8294,-1.80489
WT10-13,2.03679,3.67145
WT10-14,2.54823,-2.44326
WT11-01,-1.17582,0.339855
WT11-02,-1.21825,0.0852096
WT11-03,-0.108241,-0.185713
WT11-04,-0.454399,0.809791
WT11-05,-0.780428,0.396683
WT11-06,-0.620997,0.529834
WT11-07,0.0802549,-0.089007
WT11-08,-0.0850871,0.250937
WT11-09,-0.0149242,-1.00797
WT11-10,-0.0628963,-0.23948
WT11-11,-0.0855752,0.00912393
WT11-12,0.11447,-0.978492
WT11-13,0.573924,-0.215084
WT11-14,0.33005,-0.328143
WT11-15,1.01416,-1.55852
WT11-16,0.353205,0.94202
WT11-17,0.773772,-0.290724
WT11-18,0.891762,-0.0217487
WT11-19,1.45665,3.22707
WT11-20,3.29135,-0.528032
WT12-01,-1.52198,-0.748218
WT12-02,-1.36275,-0.861148
WT12-03,-1.16482,-1.06794
WT12-04,-1.1787,0.267461
WT12-05,-0.730401,-0.607735
WT12-06,-0.502692,0.26374
WT12-07,-0.403112,0.367405
WT12-08,-0.425828,0.605042
WT12-09,-0.0705504,1.40539
WT12-10,0.369959,-0.506183
WT12-11,0.637535,1.45859
WT12-12,2.31264,0.426301
WT12-13,2.31553,0.565585
WT13-01,-1.13245,-0.264811
WT13-02,-1.07699,-0.167401
WT13-03,-1.56072,-0.767602
WT13-04,-1.58931,0.123077
WT13-05,-1.22277,-0.523156
WT13-06,-1.0009,0.0655208
WT13-07,-0.772028,-0.377297
WT13-08,-0.518999,0.104334
WT13-09,-0.282555,-0.484693
WT13-10,-0.287706,-0.227443
WT13-11,-0.0117847,-0.362857
WT13-12,0.527086,-0.975591
WT13-13,0.0918203,0.467176
WT13-14,0.357753,-2.10032
WT13-15,0.321097,0.0594405
WT13-16,0.455659,-1.08724
WT13-17,0.633111,-0.00801237
WT13-18,0.636038,-0.59175
WT13-19,1.11932,1.05291
WT13-20,1.14154,-1.57049
WT13-21,1.16467,0.852584
WT13-22,0.926903,0.0570493
WT13-23,1.53667,-1.60147
WT13-24,2.1026,-1.28401
WT13-25,2.64663,1.56631
WT14-01,-1.47106,0.483262
WT14-02,-1.71184,-0.740876
WT14-03,-1.13276,-0.086562
WT14-04,-1.11427,-0.46953
WT14-05,-1.55211,-0.342656
WT14-06,-0.822533,-0.28045
WT14-07,-1.30452,-0.194995
WT14-08,-0.819296,0.0668275
WT14-09,-0.617831,0.925514
WT14-10,-0.723742,-0.0926034
WT14-11,-0.306869,0.145761
WT14-12,-0.461,0.00700432
WT14-13,-0.577561,-0.348876
WT14-14,-0.0647716,-0.120333
WT14-15,0.438168,1.86882
WT14-16,0.204504,0.239228
WT14-17,-0.268366,0.895561
WT14-18,0.241022,-0.937593
WT14-19,0.65958,0.397726
WT14-20,0.532835,-1.23728
WT14-21,0.112145,0.553139
WT14-22,0.300169,-0.606738
WT14-23,0.512899,1.37018
WT14-24,0.464854,-0.64521
WT14-25,1.34674,1.1301
WT14-26,0.573588,1.15173
WT14-27,1.38127,0.235875
WT14-28,1.86231,-1.45886
WT14-29,1.5263,-2.77806
WT15-01,-1.88805,-1.0722
WT15-02,-1.9225,-0.555594
WT15-03,-1.19699,0.291262
WT15-04,-0.745109,1.12387
WT15-05,-0.794898,0.984558
WT15-06,-0.872351,-0.047911
WT15-07,-1.13538,-0.248066
WT15-08,-0.567608,-0.60873
WT15-09,-0.289283,0.0394409
WT15-10,-0.43153,0.73775
WT15-11,-0.750342,0.112432
WT15-12,-0.618499,0.554601
WT15-13,-0.667019,0.0657827
WT15-14,-0.0378566,0.335748
WT15-15,-0.372559,0.135974
WT15-16,-0.447819,0.118993
WT15-17,-0.324515,0.794076
WT15-18,0.358767,1.85248
WT15-19,0.0562822,-0.645258
WT15-20,0.299092,1.19937
WT15-21,0.411421,-1.68165
WT15-22,0.272856,-0.225026
WT15-23,0.637431,1.15038
WT15-24,0.704709,-0.0902635
WT15-25,0.752315,-0.444714
WT15-26,1.29692,-0.675661
WT15-27,2.23497,-0.602982
WT16-01,-0.639614,0.373288
WT16-02,-0.428986,-0.0062789
WT16-03,-0.469222,-0.294706
WT16-04,-0.334532,-0.767271
WT16-05,-0.350653,-0.68055
WT16-06,-0.140207,-0.52551
WT16-07,-0.114177,0.0457004
WT16-08,-0.0556472,0.570316
WT16-09,0.517387,-1.41087
WT16-10,1.28565,0.0675349
WT16-11,2.0782,3.70751
WT16-12,2.59289,-2.37064
WT17-1,-0.979095,0.0753503
WT17-2,-0.0365954,0.822821
WT17-3,0.358442,-0.273012
WT17-4,0.623037,-0.20154
WT18-1,-2.24159,-0.663301
WT18-2,-1.00445,-0.386097
WT18-3,-0.777727,0.114066
WT18-4,-0.859807,0.375077
WT18-5,0.81377,1.48743
